종목구분,NO,시즌,라운드구분,라운드세부,일자, 요일구분,요일,채널구분,채널,남여구분,방송형태,홈,어웨이,시작시간,종료시간,방영길이,가구 시청률,케이블가구 시청률,개인 시청자수,MF2544,소속도시,구단홈구장
프로배구,1,2021-2022,정규리그,1라운드,2021-10-16 00:00:00,주말,토요일,케이블,KBSN스포츠,남자부,생방송,대한항공,우리카드,13:49:12,16:06:35,02:17:24,0.49943,0.65337,99408.0,27692.0,인천광역시,인천계양체육관
프로배구,2,2021-2022,정규리그,1라운드,2021-10-16 00:00:00,주말,토요일,케이블,SBS Sports,여자부,생방송,GS칼텍스,흥국생명,15:49:41,17:38:33,01:48:53,0.88909,0.97662,182412.0,43923.0,서울특별시,장충체육관
프로배구,3,2021-2022,정규리그,1라운드,2021-10-17 00:00:00,주말,일요일,지상파,KBS1,여자부,생방송,현대건설,IBK기업은행,14:28:22,16:34:08,02:05:47,2.03127,2.20193,397694.0,36679.0,수원시,수원실내체육관
프로배구,4,2021-2022,정규리그,1라운드,2021-10-17 00:00:00,주말,일요일,케이블,KBSN스포츠,남자부,생방송,현대캐피탈,OK금융그룹,16:54:26,19:21:47,02:27:22,0.76049,0.8613,145963.0,21158.0,천안시,천안유관순체육관
프로배구,5,2021-2022,정규리그,1라운드,2021-10-19 00:00:00,주중,화요일,케이블,KBSN스포츠,여자부,생방송,페퍼저축은행,KGC인삼공사,18:48:33,21:05:01,02:16:29,1.16773,1.29227,254418.0,45912.0,광주광역시,페퍼스타디움(염주체육관)
프로배구,6,2021-2022,정규리그,1라운드,2021-10-20 00:00:00,주중,수요일,케이블,KBSN스포츠,여자부,생방송,한국도로공사,현대건설,18:53:25,20:38:47,01:45:23,0.94657,1.12003,210461.0,26827.0,김천시,김천실내체육관
프로배구,7,2021-2022,정규리그,1라운드,2021-10-21 00:00:00,주중,목요일,케이블,KBSN스포츠,여자부,생방송,IBK기업은행,흥국생명,18:53:22,21:20:56,02:27:35,0.98251,1.01599,230495.0,36272.0,화성시,화성실내체육관
프로배구,8,2021-2022,정규리그,1라운드,2021-10-22 00:00:00,주중,금요일,케이블,KBSN스포츠,여자부,생방송,페퍼저축은행,GS칼텍스,18:53:44,20:23:14,01:29:31,0.58942,0.62969,135545.0,14809.0,광주광역시,페퍼스타디움(염주체육관)
프로배구,9,2021-2022,정규리그,1라운드,2021-10-23 00:00:00,주말,토요일,케이블,KBSN스포츠,여자부,생방송,KGC인삼공사,한국도로공사,15:51:33,17:56:37,02:05:05,1.04436,1.24065,206119.0,41627.0,대전광역시,대전충무체육관
프로배구,10,2021-2022,정규리그,1라운드,2021-10-23 00:00:00,주말,토요일,케이블,SBS Sports,남자부,생방송,한국전력,KB손해보험,13:53:09,16:16:44,02:23:36,0.38409,0.50988,75872.0,14617.0,수원시,수원실내체육관
